Time,System Production (W)
04/09/2017 00:00,"0"
04/09/2017 00:15,"0"
04/09/2017 00:30,"0"
04/09/2017 00:45,"0"
04/09/2017 01:00,"0"
04/09/2017 01:15,"0"
04/09/2017 01:30,"0"
04/09/2017 01:45,"0"
04/09/2017 02:00,"0"
04/09/2017 02:15,"0"
04/09/2017 02:30,"0"
04/09/2017 02:45,"0"
04/09/2017 03:00,"0"
04/09/2017 03:15,"0"
04/09/2017 03:30,"0"
04/09/2017 03:45,"0"
04/09/2017 04:00,"0"
04/09/2017 04:15,"0"
04/09/2017 04:30,"0"
04/09/2017 04:45,"0"
04/09/2017 05:00,"0"
04/09/2017 05:15,"0"
04/09/2017 05:30,"0"
04/09/2017 05:45,"0"
04/09/2017 06:00,"0"
04/09/2017 06:15,"0"
04/09/2017 06:30,"0"
04/09/2017 06:45,"0"
04/09/2017 07:00,"0"
04/09/2017 07:15,"0"
04/09/2017 07:30,"44.8333"
04/09/2017 07:45,"93"
04/09/2017 08:00,"143.3333"
04/09/2017 08:15,"166.8333"
04/09/2017 08:30,"201.1667"
04/09/2017 08:45,"223.8333"
04/09/2017 09:00,"258.3333"
04/09/2017 09:15,"331.6667"
04/09/2017 09:30,"405"
04/09/2017 09:45,"448.8333"
04/09/2017 10:00,"532.6667"
04/09/2017 10:15,"645"
04/09/2017 10:30,"804.6667"
04/09/2017 10:45,"983.3333"
04/09/2017 11:00,"1112.5"
04/09/2017 11:15,"1042.5"
04/09/2017 11:30,"999.6667"
04/09/2017 11:45,"1087.5"
04/09/2017 12:00,"1076.8334"
04/09/2017 12:15,"1282"
04/09/2017 12:30,"1464.5"
04/09/2017 12:45,"1347.3334"
04/09/2017 13:00,"1036.3334"
04/09/2017 13:15,"1324.8334"
04/09/2017 13:30,"1245.5"
04/09/2017 13:45,"1053.1666"
04/09/2017 14:00,"1216"
04/09/2017 14:15,"967.6667"
04/09/2017 14:30,"891.1667"
04/09/2017 14:45,"953.8333"
04/09/2017 15:00,"1090.6666"
04/09/2017 15:15,"1197"
04/09/2017 15:30,"1329"
04/09/2017 15:45,"1173.6666"
04/09/2017 16:00,"1035.6666"
04/09/2017 16:15,"1048.8334"
04/09/2017 16:30,"1143.6666"
04/09/2017 16:45,"943"
04/09/2017 17:00,"504"
04/09/2017 17:15,"578.8333"
04/09/2017 17:30,"612.5"
04/09/2017 17:45,"518.1667"
04/09/2017 18:00,"299.3333"
04/09/2017 18:15,"359.6667"
04/09/2017 18:30,"322.5"
04/09/2017 18:45,"218.8333"
04/09/2017 19:00,"85"
04/09/2017 19:15,"13.6667"
04/09/2017 19:30,"0.1667"
04/09/2017 19:45,"0"
04/09/2017 20:00,"0"
04/09/2017 20:15,"0"
04/09/2017 20:30,"0"
04/09/2017 20:45,"0"
04/09/2017 21:00,"0"
04/09/2017 21:15,"0"
04/09/2017 21:30,"0"
04/09/2017 21:45,"0"
04/09/2017 22:00,"0"
04/09/2017 22:15,"0"
04/09/2017 22:30,"0"
04/09/2017 22:45,"0"
04/09/2017 23:00,"0"
04/09/2017 23:15,"0"
04/09/2017 23:30,"0"
04/09/2017 23:45,"0"
04/10/2017 00:00,"0"
04/10/2017 00:15,"0"
04/10/2017 00:30,"0"
04/10/2017 00:45,"0"
04/10/2017 01:00,"0"
04/10/2017 01:15,"0"
04/10/2017 01:30,"0"
04/10/2017 01:45,"0"
04/10/2017 02:00,"0"
04/10/2017 02:15,"0"
04/10/2017 02:30,"0"
04/10/2017 02:45,"0"
04/10/2017 03:00,"0"
04/10/2017 03:15,"0"
04/10/2017 03:30,"0"
04/10/2017 03:45,"0"
04/10/2017 04:00,"0"
04/10/2017 04:15,"0"
04/10/2017 04:30,"0"
04/10/2017 04:45,"0"
04/10/2017 05:00,"0"
04/10/2017 05:15,"0"
04/10/2017 05:30,"0"
04/10/2017 05:45,"0"
04/10/2017 06:00,"0"
04/10/2017 06:15,"0"
04/10/2017 06:30,"0"
04/10/2017 06:45,"0"
04/10/2017 07:00,"0"
04/10/2017 07:15,"0"
04/10/2017 07:30,"0"
04/10/2017 07:45,"47.5"
04/10/2017 08:00,"84.5"
04/10/2017 08:15,"87.1667"
04/10/2017 08:30,"174.6667"
04/10/2017 08:45,"172.8333"
04/10/2017 09:00,"235.6667"
04/10/2017 09:15,"304.5"
04/10/2017 09:30,"319"
04/10/2017 09:45,"146.8333"
04/10/2017 10:00,"380.3333"
04/10/2017 10:15,"917.8333"
04/10/2017 10:30,"1163.8334"
04/10/2017 10:45,"1343.6666"
04/10/2017 11:00,"646.5"
04/10/2017 11:15,"1583.6666"
04/10/2017 11:30,"1161.3334"
04/10/2017 11:45,"1712.3334"
04/10/2017 12:00,"1327.8334"
04/10/2017 12:15,"1503"
04/10/2017 12:30,"1389"
04/10/2017 12:45,"1926"
04/10/2017 13:00,"1881.8334"
04/10/2017 13:15,"1210.3334"
04/10/2017 13:30,"873.3333"
04/10/2017 13:45,"2027.1666"
04/10/2017 14:00,"595"
04/10/2017 14:15,"1519.6666"
04/10/2017 14:30,"1579.1666"
04/10/2017 14:45,"1413"
04/10/2017 15:00,"201.5"
04/10/2017 15:15,"370.8333"
04/10/2017 15:30,"920.3333"
04/10/2017 15:45,"1285.6666"
04/10/2017 16:00,"1574.3334"
04/10/2017 16:15,"1498.1666"
04/10/2017 16:30,"1391.8334"
04/10/2017 16:45,"929.8333"
04/10/2017 17:00,"1294.5"
04/10/2017 17:15,"1139.1666"
04/10/2017 17:30,"471.8333"
