Time,System Production (W)
10/29/2017 00:00,"0"
10/29/2017 00:15,"0"
10/29/2017 00:30,"0"
10/29/2017 00:45,"0"
10/29/2017 01:00,"0"
10/29/2017 01:15,"0"
10/29/2017 01:30,"0"
10/29/2017 01:45,"0"
10/29/2017 02:00,"0"
10/29/2017 02:15,"0"
10/29/2017 02:30,"0"
10/29/2017 02:45,"0"
10/29/2017 03:00,"0"
10/29/2017 03:15,"0"
10/29/2017 03:30,"0"
10/29/2017 03:45,"0"
10/29/2017 04:00,"0"
10/29/2017 04:15,"0"
10/29/2017 04:30,"0"
10/29/2017 04:45,"0"
10/29/2017 05:00,"0"
10/29/2017 05:15,"0"
10/29/2017 05:30,"0"
10/29/2017 05:45,"0"
10/29/2017 06:00,"0"
10/29/2017 06:15,"0"
10/29/2017 06:30,"0"
10/29/2017 06:45,"0"
10/29/2017 07:00,"0"
10/29/2017 07:15,"0"
10/29/2017 07:30,"0"
10/29/2017 07:45,"0"
10/29/2017 08:00,"0"
10/29/2017 08:15,"0"
10/29/2017 08:30,"0"
10/29/2017 08:45,"0"
10/29/2017 09:00,"0"
10/29/2017 09:15,"0"
10/29/2017 09:30,"0"
10/29/2017 09:45,"0"
10/29/2017 10:00,"22.25"
10/29/2017 10:15,"49.8333"
10/29/2017 10:30,"97.6667"
10/29/2017 10:45,"127"
10/29/2017 11:00,"321.8333"
10/29/2017 11:15,"959.5"
10/29/2017 11:30,"1224.3334"
10/29/2017 11:45,"1204.5"
10/29/2017 12:00,"960.3333"
10/29/2017 12:15,"142.8333"
10/29/2017 12:30,"86.8333"
10/29/2017 12:45,"71.8333"
10/29/2017 13:00,"93.5"
10/29/2017 13:15,"128.5"
10/29/2017 13:30,"175.3333"
10/29/2017 13:45,"120.8333"
10/29/2017 14:00,"109.3333"
10/29/2017 14:15,"138.1667"
10/29/2017 14:30,"107"
10/29/2017 14:45,"59.1667"
10/29/2017 15:00,"39.8333"
10/29/2017 15:15,"29.3333"
