Time,System Production (W)
08/20/2017 00:00,"0"
08/20/2017 00:15,"0"
08/20/2017 00:30,"0"
08/20/2017 00:45,"0"
08/20/2017 01:00,"0"
08/20/2017 01:15,"0"
08/20/2017 01:30,"0"
08/20/2017 01:45,"0"
08/20/2017 02:00,"0"
08/20/2017 02:15,"0"
08/20/2017 02:30,"0"
08/20/2017 02:45,"0"
08/20/2017 03:00,"0"
08/20/2017 03:15,"0"
08/20/2017 03:30,"0"
08/20/2017 03:45,"0"
08/20/2017 04:00,"0"
08/20/2017 04:15,"0"
08/20/2017 04:30,"0"
08/20/2017 04:45,"0"
08/20/2017 05:00,"0"
08/20/2017 05:15,"0"
08/20/2017 05:30,"0"
08/20/2017 05:45,"0"
08/20/2017 06:00,"0"
08/20/2017 06:15,"0"
08/20/2017 06:30,"0"
08/20/2017 06:45,"0"
08/20/2017 07:00,"0"
08/20/2017 07:15,"0"
08/20/2017 07:30,"24.5"
08/20/2017 07:45,"115.5"
08/20/2017 08:00,"109.1667"
08/20/2017 08:15,"195.6667"
08/20/2017 08:30,"264.8333"
08/20/2017 08:45,"325.6667"
08/20/2017 09:00,"281.8333"
08/20/2017 09:15,"298"
08/20/2017 09:30,"326"
08/20/2017 09:45,"396"
08/20/2017 10:00,"760.5"
08/20/2017 10:15,"429"
08/20/2017 10:30,"709.8333"
08/20/2017 10:45,"598.5"
08/20/2017 11:00,"824.1667"
08/20/2017 11:15,"1567.3334"
08/20/2017 11:30,"1383.5"
08/20/2017 11:45,"1781.6666"
08/20/2017 12:00,"1258.6666"
08/20/2017 12:15,"1476.1666"
08/20/2017 12:30,"963.3333"
08/20/2017 12:45,"487"
08/20/2017 13:00,"934.8333"
08/20/2017 13:15,"2028.8334"
08/20/2017 13:30,"1654.3334"
08/20/2017 13:45,"363.6667"
08/20/2017 14:00,"614"
08/20/2017 14:15,"712"
08/20/2017 14:30,"1715.6666"
08/20/2017 14:45,"1398.5"
08/20/2017 15:00,"555.8333"
08/20/2017 15:15,"1155.1666"
08/20/2017 15:30,"593.1667"
08/20/2017 15:45,"734.6667"
08/20/2017 16:00,"384.5"
08/20/2017 16:15,"989"
08/20/2017 16:30,"1496.3334"
08/20/2017 16:45,"1193.5"
08/20/2017 17:00,"509.3333"
08/20/2017 17:15,"296.5"
08/20/2017 17:30,"207.1667"
08/20/2017 17:45,"885"
08/20/2017 18:00,"679.5"
08/20/2017 18:15,"748.8333"
08/20/2017 18:30,"529.1667"
08/20/2017 18:45,"512"
08/20/2017 19:00,"263.6667"
08/20/2017 19:15,"224.3333"
08/20/2017 19:30,"108.3333"
08/20/2017 19:45,"16.6667"
08/20/2017 20:00,"4"
08/20/2017 20:15,"0"
08/20/2017 20:30,"0"
08/20/2017 20:45,"0"
08/20/2017 21:00,"0"
08/20/2017 21:15,"0"
08/20/2017 21:30,"0"
08/20/2017 21:45,"0"
08/20/2017 22:00,"0"
08/20/2017 22:15,"0"
08/20/2017 22:30,"0"
08/20/2017 22:45,"0"
08/20/2017 23:00,"0"
08/20/2017 23:15,"0"
08/20/2017 23:30,"0"
08/20/2017 23:45,"0"
08/21/2017 00:00,"0"
08/21/2017 00:15,"0"
08/21/2017 00:30,"0"
08/21/2017 00:45,"0"
08/21/2017 01:00,"0"
08/21/2017 01:15,"0"
08/21/2017 01:30,"0"
08/21/2017 01:45,"0"
08/21/2017 02:00,"0"
08/21/2017 02:15,"0"
08/21/2017 02:30,"0"
08/21/2017 02:45,"0"
08/21/2017 03:00,"0"
08/21/2017 03:15,"0"
08/21/2017 03:30,"0"
08/21/2017 03:45,"0"
08/21/2017 04:00,"0"
08/21/2017 04:15,"0"
08/21/2017 04:30,"0"
08/21/2017 04:45,"0"
08/21/2017 05:00,"0"
08/21/2017 05:15,"0"
08/21/2017 05:30,"0"
08/21/2017 05:45,"0"
08/21/2017 06:00,"0"
08/21/2017 06:15,"0"
08/21/2017 06:30,"0"
08/21/2017 06:45,"0"
08/21/2017 07:00,"0"
08/21/2017 07:15,"0"
08/21/2017 07:30,"54.3333"
08/21/2017 07:45,"161"
08/21/2017 08:00,"187.6667"
08/21/2017 08:15,"166"
08/21/2017 08:30,"160"
08/21/2017 08:45,"288.1667"
08/21/2017 09:00,"313"
08/21/2017 09:15,"297.3333"
08/21/2017 09:30,"320.3333"
08/21/2017 09:45,"379.3333"
08/21/2017 10:00,"656"
08/21/2017 10:15,"992.1667"
08/21/2017 10:30,"1076.6666"
08/21/2017 10:45,"1217.6666"
08/21/2017 11:00,"1395"
08/21/2017 11:15,"1308"
08/21/2017 11:30,"1381.8334"
08/21/2017 11:45,"544.8333"
08/21/2017 12:00,"694.1667"
08/21/2017 12:15,"738.3333"
08/21/2017 12:30,"1713.1666"
08/21/2017 12:45,"599.5"
08/21/2017 13:00,"911.3333"
08/21/2017 13:15,"631.3333"
08/21/2017 13:30,"990.1667"
08/21/2017 13:45,"1050.8334"
08/21/2017 14:00,"1237"
08/21/2017 14:15,"1403.5"
08/21/2017 14:30,"931.8333"
08/21/2017 14:45,"1399.6666"
08/21/2017 15:00,"1284.3334"
08/21/2017 15:15,"1808.8334"
08/21/2017 15:30,"1012.8333"
08/21/2017 15:45,"515.3333"
08/21/2017 16:00,"584"
08/21/2017 16:15,"361.3333"
08/21/2017 16:30,"281.5"
08/21/2017 16:45,"317"
08/21/2017 17:00,"382.8333"
08/21/2017 17:15,"271.3333"
08/21/2017 17:30,"262.8333"
08/21/2017 17:45,"228.5"
08/21/2017 18:00,"251.3333"
08/21/2017 18:15,"172.1667"
08/21/2017 18:30,"116.1667"
08/21/2017 18:45,"134"
08/21/2017 19:00,"127.5"
08/21/2017 19:15,"100.6667"
08/21/2017 19:30,"68.6667"
08/21/2017 19:45,"37.6667"
08/21/2017 20:00,"21"
08/21/2017 20:15,"6.3333"
08/21/2017 20:30,"0"
08/21/2017 20:45,"0"
08/21/2017 21:00,"0"
08/21/2017 21:15,"0"
08/21/2017 21:30,"0"
08/21/2017 21:45,"0"
08/21/2017 22:00,"0"
08/21/2017 22:15,"0"
08/21/2017 22:30,"0"
08/21/2017 22:45,"0"
08/21/2017 23:00,"0"
08/21/2017 23:15,"0"
08/21/2017 23:30,"0"
08/21/2017 23:45,"0"
08/22/2017 00:00,"0"
08/22/2017 00:15,"0"
08/22/2017 00:30,"0"
08/22/2017 00:45,"0"
08/22/2017 01:00,"0"
08/22/2017 01:15,"0"
08/22/2017 01:30,"0"
08/22/2017 01:45,"0"
08/22/2017 02:00,"0"
08/22/2017 02:15,"0"
08/22/2017 02:30,"0"
08/22/2017 02:45,"0"
08/22/2017 03:00,"0"
08/22/2017 03:15,"0"
08/22/2017 03:30,"0"
08/22/2017 03:45,"0"
08/22/2017 04:00,"0"
08/22/2017 04:15,"0"
08/22/2017 04:30,"0"
08/22/2017 04:45,"0"
08/22/2017 05:00,"0"
08/22/2017 05:15,"0"
08/22/2017 05:30,"0"
08/22/2017 05:45,"0"
08/22/2017 06:00,"0"
08/22/2017 06:15,"0"
08/22/2017 06:30,"0"
08/22/2017 06:45,"0"
08/22/2017 07:00,"0"
08/22/2017 07:15,"0"
08/22/2017 07:30,"0"
08/22/2017 07:45,"0"
08/22/2017 08:00,"0"
08/22/2017 08:15,"0"
08/22/2017 08:30,"0"
08/22/2017 08:45,"45.1667"
08/22/2017 09:00,"72.8333"
08/22/2017 09:15,"92.1667"
08/22/2017 09:30,"135.1667"
08/22/2017 09:45,"395.5"
08/22/2017 10:00,"719.6667"
08/22/2017 10:15,"944.3333"
08/22/2017 10:30,"1077"
08/22/2017 10:45,"1231"
08/22/2017 11:00,"1342.3334"
08/22/2017 11:15,"1423.1666"
08/22/2017 11:30,"1544"
08/22/2017 11:45,"1603.6666"
08/22/2017 12:00,"1653.6666"
08/22/2017 12:15,"1692"
08/22/2017 12:30,"1728.6666"
08/22/2017 12:45,"1763"
08/22/2017 13:00,"1790"
08/22/2017 13:15,"1777.6666"
08/22/2017 13:30,"1782.8334"
08/22/2017 13:45,"1775.6666"
08/22/2017 14:00,"1760.8334"
08/22/2017 14:15,"1751.5"
08/22/2017 14:30,"1729.1666"
08/22/2017 14:45,"1713.3334"
08/22/2017 15:00,"1666.5"
08/22/2017 15:15,"1626.8334"
08/22/2017 15:30,"1583.5"
08/22/2017 15:45,"1541.8334"
08/22/2017 16:00,"1453"
08/22/2017 16:15,"1371.1666"
08/22/2017 16:30,"1296.6666"
08/22/2017 16:45,"1224.6666"
08/22/2017 17:00,"1151.5"
08/22/2017 17:15,"1063.1666"
08/22/2017 17:30,"978.8333"
08/22/2017 17:45,"882.1667"
08/22/2017 18:00,"795"
08/22/2017 18:15,"687.6667"
08/22/2017 18:30,"561.1667"
08/22/2017 18:45,"452.1667"
08/22/2017 19:00,"347.5"
08/22/2017 19:15,"245"
08/22/2017 19:30,"150.1667"
08/22/2017 19:45,"81"
08/22/2017 20:00,"38.6667"
08/22/2017 20:15,"17.5"
08/22/2017 20:30,"0"
08/22/2017 20:45,"0"
08/22/2017 21:00,"0"
08/22/2017 21:15,"0"
08/22/2017 21:30,"0"
08/22/2017 21:45,"0"
08/22/2017 22:00,"0"
08/22/2017 22:15,"0"
08/22/2017 22:30,"0"
08/22/2017 22:45,"0"
08/22/2017 23:00,"0"
08/22/2017 23:15,"0"
08/22/2017 23:30,"0"
08/22/2017 23:45,"0"
08/23/2017 00:00,"0"
08/23/2017 00:15,"0"
08/23/2017 00:30,"0"
08/23/2017 00:45,"0"
08/23/2017 01:00,"0"
08/23/2017 01:15,"0"
08/23/2017 01:30,"0"
08/23/2017 01:45,"0"
08/23/2017 02:00,"0"
08/23/2017 02:15,"0"
08/23/2017 02:30,"0"
08/23/2017 02:45,"0"
08/23/2017 03:00,"0"
08/23/2017 03:15,"0"
08/23/2017 03:30,"0"
08/23/2017 03:45,"0"
08/23/2017 04:00,"0"
08/23/2017 04:15,"0"
08/23/2017 04:30,"0"
08/23/2017 04:45,"0"
08/23/2017 05:00,"0"
08/23/2017 05:15,"0"
08/23/2017 05:30,"0"
08/23/2017 05:45,"0"
08/23/2017 06:00,"0"
08/23/2017 06:15,"0"
08/23/2017 06:30,"0"
08/23/2017 06:45,"0"
08/23/2017 07:00,"0"
08/23/2017 07:15,"0"
08/23/2017 07:30,"0"
08/23/2017 07:45,"0"
08/23/2017 08:00,"35.5"
08/23/2017 08:15,"58.5"
08/23/2017 08:30,"66.1667"
08/23/2017 08:45,"76.5"
08/23/2017 09:00,"93.6667"
08/23/2017 09:15,"119.8333"
08/23/2017 09:30,"171.1667"
08/23/2017 09:45,"324.3333"
08/23/2017 10:00,"631.3333"
08/23/2017 10:15,"874.3333"
08/23/2017 10:30,"990.8333"
08/23/2017 10:45,"1162.1666"
08/23/2017 11:00,"1262.8334"
08/23/2017 11:15,"1350"
08/23/2017 11:30,"1403.8334"
08/23/2017 11:45,"1508.6666"
08/23/2017 12:00,"1557.3334"
08/23/2017 12:15,"1622.8334"
08/23/2017 12:30,"1312.8334"
08/23/2017 12:45,"1634"
08/23/2017 13:00,"1637.5"
08/23/2017 13:15,"1654.3334"
08/23/2017 13:30,"1334.1666"
08/23/2017 13:45,"1666.8334"
08/23/2017 14:00,"1673.3334"
08/23/2017 14:15,"1637.6666"
08/23/2017 14:30,"1654.3334"
08/23/2017 14:45,"1651.8334"
