Time,System Production (W)
08/27/2017 00:00,"0"
08/27/2017 00:15,"0"
08/27/2017 00:30,"0"
08/27/2017 00:45,"0"
08/27/2017 01:00,"0"
08/27/2017 01:15,"0"
08/27/2017 01:30,"0"
08/27/2017 01:45,"0"
08/27/2017 02:00,"0"
08/27/2017 02:15,"0"
08/27/2017 02:30,"0"
08/27/2017 02:45,"0"
08/27/2017 03:00,"0"
08/27/2017 03:15,"0"
08/27/2017 03:30,"0"
08/27/2017 03:45,"0"
08/27/2017 04:00,"0"
08/27/2017 04:15,"0"
08/27/2017 04:30,"0"
08/27/2017 04:45,"0"
08/27/2017 05:00,"0"
08/27/2017 05:15,"0"
08/27/2017 05:30,"0"
08/27/2017 05:45,"0"
08/27/2017 06:00,"0"
08/27/2017 06:15,"0"
08/27/2017 06:30,"0"
08/27/2017 06:45,"0"
08/27/2017 07:00,"0"
08/27/2017 07:15,"0"
08/27/2017 07:30,"27.5"
08/27/2017 07:45,"62.1667"
08/27/2017 08:00,"67.1667"
08/27/2017 08:15,"70.8333"
08/27/2017 08:30,"76.1667"
08/27/2017 08:45,"81.1667"
08/27/2017 09:00,"100"
08/27/2017 09:15,"116.5"
08/27/2017 09:30,"147"
08/27/2017 09:45,"275.8333"
08/27/2017 10:00,"555.3333"
08/27/2017 10:15,"869.1667"
08/27/2017 10:30,"1067.8334"
08/27/2017 10:45,"1179.1666"
08/27/2017 11:00,"1265"
08/27/2017 11:15,"1348.3334"
08/27/2017 11:30,"1449.6666"
08/27/2017 11:45,"1496.3334"
08/27/2017 12:00,"1526.1666"
08/27/2017 12:15,"1568"
08/27/2017 12:30,"1590"
08/27/2017 12:45,"1621.6666"
08/27/2017 13:00,"1626.6666"
08/27/2017 13:15,"1632.8334"
08/27/2017 13:30,"1642.6666"
08/27/2017 13:45,"1625.6666"
08/27/2017 14:00,"1633.1666"
08/27/2017 14:15,"1600.8334"
08/27/2017 14:30,"1588"
08/27/2017 14:45,"1556.5"
08/27/2017 15:00,"1523.5"
08/27/2017 15:15,"1462.8334"
08/27/2017 15:30,"1437.6666"
08/27/2017 15:45,"1392"
08/27/2017 16:00,"1338.6666"
08/27/2017 16:15,"1279.1666"
08/27/2017 16:30,"1207.1666"
08/27/2017 16:45,"1143"
08/27/2017 17:00,"1067.8334"
08/27/2017 17:15,"972.8333"
08/27/2017 17:30,"885.1667"
08/27/2017 17:45,"805.6667"
08/27/2017 18:00,"717.8333"
08/27/2017 18:15,"617"
08/27/2017 18:30,"495"
08/27/2017 18:45,"386.8333"
08/27/2017 19:00,"282.1667"
08/27/2017 19:15,"182.8333"
08/27/2017 19:30,"83.1667"
08/27/2017 19:45,"32.8333"
08/27/2017 20:00,"7.6667"
08/27/2017 20:15,"0"
08/27/2017 20:30,"0"
08/27/2017 20:45,"0"
08/27/2017 21:00,"0"
08/27/2017 21:15,"0"
08/27/2017 21:30,"0"
08/27/2017 21:45,"0"
08/27/2017 22:00,"0"
08/27/2017 22:15,"0"
08/27/2017 22:30,"0"
08/27/2017 22:45,"0"
08/27/2017 23:00,"0"
08/27/2017 23:15,"0"
08/27/2017 23:30,"0"
08/27/2017 23:45,"0"
08/28/2017 00:00,"0"
08/28/2017 00:15,"0"
08/28/2017 00:30,"0"
08/28/2017 00:45,"0"
08/28/2017 01:00,"0"
08/28/2017 01:15,"0"
08/28/2017 01:30,"0"
08/28/2017 01:45,"0"
08/28/2017 02:00,"0"
08/28/2017 02:15,"0"
08/28/2017 02:30,"0"
08/28/2017 02:45,"0"
08/28/2017 03:00,"0"
08/28/2017 03:15,"0"
08/28/2017 03:30,"0"
08/28/2017 03:45,"0"
08/28/2017 04:00,"0"
08/28/2017 04:15,"0"
08/28/2017 04:30,"0"
08/28/2017 04:45,"0"
08/28/2017 05:00,"0"
08/28/2017 05:15,"0"
08/28/2017 05:30,"0"
08/28/2017 05:45,"0"
08/28/2017 06:00,"0"
08/28/2017 06:15,"0"
08/28/2017 06:30,"0"
08/28/2017 06:45,"0"
08/28/2017 07:00,"0"
08/28/2017 07:15,"34.5"
08/28/2017 07:30,"95"
08/28/2017 07:45,"40.8333"
08/28/2017 08:00,"71.8333"
08/28/2017 08:15,"117.5"
08/28/2017 08:30,"140.1667"
08/28/2017 08:45,"188.3333"
08/28/2017 09:00,"270.3333"
08/28/2017 09:15,"228.8333"
08/28/2017 09:30,"278.5"
08/28/2017 09:45,"314"
08/28/2017 10:00,"425.1667"
08/28/2017 10:15,"301"
08/28/2017 10:30,"687.1667"
08/28/2017 10:45,"1411.5"
08/28/2017 11:00,"927.1667"
08/28/2017 11:15,"866.1667"
08/28/2017 11:30,"520.8333"
08/28/2017 11:45,"1366.3334"
08/28/2017 12:00,"1202.5"
08/28/2017 12:15,"847"
08/28/2017 12:30,"489"
08/28/2017 12:45,"1036.5"
08/28/2017 13:00,"1485"
08/28/2017 13:15,"1567.1666"
08/28/2017 13:30,"1081"
08/28/2017 13:45,"838.3333"
08/28/2017 14:00,"1126.5"
08/28/2017 14:15,"1394"
08/28/2017 14:30,"1166.5"
08/28/2017 14:45,"555"
08/28/2017 15:00,"472.3333"
08/28/2017 15:15,"443.6667"
08/28/2017 15:30,"429.1667"
08/28/2017 15:45,"1074"
08/28/2017 16:00,"617.8333"
08/28/2017 16:15,"549.1667"
08/28/2017 16:30,"305.3333"
08/28/2017 16:45,"362.1667"
08/28/2017 17:00,"321.8333"
08/28/2017 17:15,"258.3333"
08/28/2017 17:30,"283.8333"
08/28/2017 17:45,"256.6667"
08/28/2017 18:00,"116"
08/28/2017 18:15,"66"
08/28/2017 18:30,"75.5"
08/28/2017 18:45,"53.1667"
08/28/2017 19:00,"51"
08/28/2017 19:15,"64"
08/28/2017 19:30,"35.6667"
08/28/2017 19:45,"4.8333"
08/28/2017 20:00,"0"
08/28/2017 20:15,"0"
08/28/2017 20:30,"0"
08/28/2017 20:45,"0"
08/28/2017 21:00,"0"
08/28/2017 21:15,"0"
08/28/2017 21:30,"0"
08/28/2017 21:45,"0"
08/28/2017 22:00,"0"
08/28/2017 22:15,"0"
08/28/2017 22:30,"0"
08/28/2017 22:45,"0"
08/28/2017 23:00,"0"
08/28/2017 23:15,"0"
08/28/2017 23:30,"0"
08/28/2017 23:45,"0"
08/29/2017 00:00,"0"
08/29/2017 00:15,"0"
08/29/2017 00:30,"0"
08/29/2017 00:45,"0"
08/29/2017 01:00,"0"
08/29/2017 01:15,"0"
08/29/2017 01:30,"0"
08/29/2017 01:45,"0"
08/29/2017 02:00,"0"
08/29/2017 02:15,"0"
08/29/2017 02:30,"0"
08/29/2017 02:45,"0"
08/29/2017 03:00,"0"
08/29/2017 03:15,"0"
08/29/2017 03:30,"0"
08/29/2017 03:45,"0"
08/29/2017 04:00,"0"
08/29/2017 04:15,"0"
08/29/2017 04:30,"0"
08/29/2017 04:45,"0"
08/29/2017 05:00,"0"
08/29/2017 05:15,"0"
08/29/2017 05:30,"0"
08/29/2017 05:45,"0"
08/29/2017 06:00,"0"
08/29/2017 06:15,"0"
08/29/2017 06:30,"0"
08/29/2017 06:45,"0"
08/29/2017 07:00,"0"
08/29/2017 07:15,"0"
08/29/2017 07:30,"0"
08/29/2017 07:45,"0"
08/29/2017 08:00,"0"
08/29/2017 08:15,"65.6667"
08/29/2017 08:30,"180"
08/29/2017 08:45,"82.3333"
08/29/2017 09:00,"113.8333"
08/29/2017 09:15,"119.3333"
08/29/2017 09:30,"244.5"
08/29/2017 09:45,"74.8333"
08/29/2017 10:00,"86.6667"
08/29/2017 10:15,"260.6667"
08/29/2017 10:30,"218.3333"
08/29/2017 10:45,"367.5"
08/29/2017 11:00,"359"
08/29/2017 11:15,"388.8333"
08/29/2017 11:30,"300.8333"
08/29/2017 11:45,"437"
08/29/2017 12:00,"778.8333"
08/29/2017 12:15,"557.8333"
08/29/2017 12:30,"515.6667"
08/29/2017 12:45,"621.6667"
08/29/2017 13:00,"418.5"
08/29/2017 13:15,"496.8333"
08/29/2017 13:30,"290"
08/29/2017 13:45,"105.6667"
08/29/2017 14:00,"78.8333"
08/29/2017 14:15,"77.6667"
08/29/2017 14:30,"116.5"
08/29/2017 14:45,"164.3333"
08/29/2017 15:00,"231.6667"
08/29/2017 15:15,"148.6667"
08/29/2017 15:30,"204.5"
08/29/2017 15:45,"243.3333"
08/29/2017 16:00,"128.3333"
08/29/2017 16:15,"117.6667"
08/29/2017 16:30,"130"
08/29/2017 16:45,"196.8333"
08/29/2017 17:00,"240.8333"
08/29/2017 17:15,"194.3333"
08/29/2017 17:30,"147.1667"
08/29/2017 17:45,"162"
08/29/2017 18:00,"127.1667"
08/29/2017 18:15,"159.1667"
08/29/2017 18:30,"79.5"
08/29/2017 18:45,"19.8333"
