Time,System Production (W)
06/25/2017 00:00,"0"
06/25/2017 00:15,"0"
06/25/2017 00:30,"0"
06/25/2017 00:45,"0"
06/25/2017 01:00,"0"
06/25/2017 01:15,"0"
06/25/2017 01:30,"0"
06/25/2017 01:45,"0"
06/25/2017 02:00,"0"
06/25/2017 02:15,"0"
06/25/2017 02:30,"0"
06/25/2017 02:45,"0"
06/25/2017 03:00,"0"
06/25/2017 03:15,"0"
06/25/2017 03:30,"0"
06/25/2017 03:45,"0"
06/25/2017 04:00,"0"
06/25/2017 04:15,"0"
06/25/2017 04:30,"0"
06/25/2017 04:45,"0"
06/25/2017 05:00,"0"
06/25/2017 05:15,"0"
06/25/2017 05:30,"0"
06/25/2017 05:45,"0"
06/25/2017 06:00,"33.5"
06/25/2017 06:15,"87"
06/25/2017 06:30,"100.1667"
06/25/2017 06:45,"99.1667"
06/25/2017 07:00,"189"
06/25/2017 07:15,"117.8333"
06/25/2017 07:30,"77.6667"
06/25/2017 07:45,"82.5"
06/25/2017 08:00,"121.3333"
06/25/2017 08:15,"481.5"
06/25/2017 08:30,"712.8333"
06/25/2017 08:45,"489.3333"
06/25/2017 09:00,"816.3333"
06/25/2017 09:15,"725.8333"
06/25/2017 09:30,"829.1667"
06/25/2017 09:45,"891.3333"
06/25/2017 10:00,"1023.6667"
06/25/2017 10:15,"1005.6667"
06/25/2017 10:30,"1194.8334"
06/25/2017 10:45,"1338.8334"
06/25/2017 11:00,"1258.6666"
06/25/2017 11:15,"1096.8334"
06/25/2017 11:30,"1274.1666"
06/25/2017 11:45,"1482.6666"
06/25/2017 12:00,"1333.3334"
06/25/2017 12:15,"1384.6666"
06/25/2017 12:30,"1875.6666"
06/25/2017 12:45,"1742.6666"
06/25/2017 13:00,"1111.3334"
06/25/2017 13:15,"925.8333"
06/25/2017 13:30,"1459.8334"
06/25/2017 13:45,"1683"
06/25/2017 14:00,"1988.1666"
06/25/2017 14:15,"1281.5"
06/25/2017 14:30,"1139.6666"
06/25/2017 14:45,"1585.1666"
06/25/2017 15:00,"1193.1666"
06/25/2017 15:15,"891.3333"
06/25/2017 15:30,"1054.3334"
06/25/2017 15:45,"1660.3334"
06/25/2017 16:00,"1363.5"
06/25/2017 16:15,"1204.1666"
06/25/2017 16:30,"425.5"
06/25/2017 16:45,"813.3333"
06/25/2017 17:00,"393.5"
06/25/2017 17:15,"291.6667"
06/25/2017 17:30,"966.3333"
06/25/2017 17:45,"588.8333"
06/25/2017 18:00,"308.6667"
06/25/2017 18:15,"1179.8334"
06/25/2017 18:30,"509.6667"
06/25/2017 18:45,"643.5"
06/25/2017 19:00,"719"
06/25/2017 19:15,"452.6667"
06/25/2017 19:30,"263.1667"
06/25/2017 19:45,"295.1667"
06/25/2017 20:00,"202.1667"
06/25/2017 20:15,"151.3333"
06/25/2017 20:30,"41.3333"
06/25/2017 20:45,"46.3333"
06/25/2017 21:00,"84.3333"
06/25/2017 21:15,"78"
06/25/2017 21:30,"27.8333"
06/25/2017 21:45,"4.6667"
06/25/2017 22:00,"0"
06/25/2017 22:15,"0"
06/25/2017 22:30,"0"
06/25/2017 22:45,"0"
06/25/2017 23:00,"0"
06/25/2017 23:15,"0"
06/25/2017 23:30,"0"
06/25/2017 23:45,"0"
06/26/2017 00:00,"0"
06/26/2017 00:15,"0"
06/26/2017 00:30,"0"
06/26/2017 00:45,"0"
06/26/2017 01:00,"0"
06/26/2017 01:15,"0"
06/26/2017 01:30,"0"
06/26/2017 01:45,"0"
06/26/2017 02:00,"0"
06/26/2017 02:15,"0"
06/26/2017 02:30,"0"
06/26/2017 02:45,"0"
06/26/2017 03:00,"0"
06/26/2017 03:15,"0"
06/26/2017 03:30,"0"
06/26/2017 03:45,"0"
06/26/2017 04:00,"0"
06/26/2017 04:15,"0"
06/26/2017 04:30,"0"
06/26/2017 04:45,"0"
06/26/2017 05:00,"0"
06/26/2017 05:15,"35.25"
06/26/2017 05:30,"67.1667"
06/26/2017 05:45,"74"
06/26/2017 06:00,"70.8333"
06/26/2017 06:15,"62.5"
06/26/2017 06:30,"73.6667"
06/26/2017 06:45,"130.3333"
06/26/2017 07:00,"203.8333"
06/26/2017 07:15,"239.8333"
06/26/2017 07:30,"261.1667"
06/26/2017 07:45,"223.3333"
06/26/2017 08:00,"256"
06/26/2017 08:15,"309.5"
06/26/2017 08:30,"346.6667"
06/26/2017 08:45,"624.1667"
06/26/2017 09:00,"807.6667"
06/26/2017 09:15,"782"
06/26/2017 09:30,"718.3333"
06/26/2017 09:45,"726.3333"
06/26/2017 10:00,"865"
06/26/2017 10:15,"1041.6666"
06/26/2017 10:30,"1182.3334"
06/26/2017 10:45,"905.1667"
06/26/2017 11:00,"743.5"
06/26/2017 11:15,"1032.5"
06/26/2017 11:30,"1316.5"
06/26/2017 11:45,"763"
06/26/2017 12:00,"502.3333"
06/26/2017 12:15,"121"
06/26/2017 12:30,"277"
06/26/2017 12:45,"111.8333"
06/26/2017 13:00,"168"
06/26/2017 13:15,"389.5"
06/26/2017 13:30,"565.1667"
06/26/2017 13:45,"1395.8334"
06/26/2017 14:00,"1092.3334"
06/26/2017 14:15,"600.5"
06/26/2017 14:30,"1280.1666"
06/26/2017 14:45,"1261.3334"
06/26/2017 15:00,"788.5"
06/26/2017 15:15,"1283"
06/26/2017 15:30,"344.8333"
06/26/2017 15:45,"188.5"
06/26/2017 16:00,"653.8333"
06/26/2017 16:15,"1149.8334"
06/26/2017 16:30,"378"
06/26/2017 16:45,"289.3333"
06/26/2017 17:00,"350.3333"
06/26/2017 17:15,"405.5"
06/26/2017 17:30,"334.8333"
06/26/2017 17:45,"241.6667"
06/26/2017 18:00,"552.8333"
06/26/2017 18:15,"839.5"
06/26/2017 18:30,"216.5"
06/26/2017 18:45,"272.8333"
06/26/2017 19:00,"474.6667"
06/26/2017 19:15,"224.5"
06/26/2017 19:30,"171.1667"
06/26/2017 19:45,"173"
06/26/2017 20:00,"100.8333"
06/26/2017 20:15,"94.3333"
06/26/2017 20:30,"98.5"
06/26/2017 20:45,"82.1667"
06/26/2017 21:00,"27.5"
06/26/2017 21:15,"28.1667"
06/26/2017 21:30,"16.3333"
06/26/2017 21:45,"0"
06/26/2017 22:00,"0"
06/26/2017 22:15,"0"
06/26/2017 22:30,"0"
06/26/2017 22:45,"0"
06/26/2017 23:00,"0"
06/26/2017 23:15,"0"
06/26/2017 23:30,"0"
06/26/2017 23:45,"0"
06/27/2017 00:00,"0"
06/27/2017 00:15,"0"
06/27/2017 00:30,"0"
06/27/2017 00:45,"0"
06/27/2017 01:00,"0"
06/27/2017 01:15,"0"
06/27/2017 01:30,"0"
06/27/2017 01:45,"0"
06/27/2017 02:00,"0"
06/27/2017 02:15,"0"
06/27/2017 02:30,"0"
06/27/2017 02:45,"0"
06/27/2017 03:00,"0"
06/27/2017 03:15,"0"
06/27/2017 03:30,"0"
06/27/2017 03:45,"0"
06/27/2017 04:00,"0"
06/27/2017 04:15,"0"
06/27/2017 04:30,"0"
06/27/2017 04:45,"0"
06/27/2017 05:00,"0"
06/27/2017 05:15,"0"
06/27/2017 05:30,"0"
06/27/2017 05:45,"0"
06/27/2017 06:00,"31.1667"
06/27/2017 06:15,"58.1667"
06/27/2017 06:30,"65.5"
06/27/2017 06:45,"68"
06/27/2017 07:00,"68.1667"
06/27/2017 07:15,"68.8333"
06/27/2017 07:30,"71.6667"
06/27/2017 07:45,"77.1667"
06/27/2017 08:00,"93.3333"
06/27/2017 08:15,"162"
06/27/2017 08:30,"392.5"
06/27/2017 08:45,"548.3333"
06/27/2017 09:00,"624.8333"
06/27/2017 09:15,"704.3333"
06/27/2017 09:30,"710.6667"
06/27/2017 09:45,"901.3333"
06/27/2017 10:00,"1067.8334"
06/27/2017 10:15,"1150.5"
06/27/2017 10:30,"1193.3334"
06/27/2017 10:45,"1394.5"
06/27/2017 11:00,"1302.1666"
06/27/2017 11:15,"1448.6666"
06/27/2017 11:30,"1485.3334"
06/27/2017 11:45,"1645.8334"
06/27/2017 12:00,"1818.1666"
06/27/2017 12:15,"1772.3334"
06/27/2017 12:30,"1389.3334"
06/27/2017 12:45,"1867"
06/27/2017 13:00,"1592"
06/27/2017 13:15,"1994.3334"
06/27/2017 13:30,"1917.1666"
06/27/2017 13:45,"1990.8334"
06/27/2017 14:00,"1648.3334"
