Date-Hour(NMT),FF,OT_1,PR,QSI,TA,UU
20.03.2017-04:00,3,0,996.6,-5.1,0.1,100
20.03.2017-05:00,2.9,0,996.4,-4.9,0,100
20.03.2017-06:00,2.8,0,996.4,-4.8,0.2,100
20.03.2017-07:00,3.2,0,996.3,1.4,0.3,100
20.03.2017-08:00,2.1,0,996.3,21,0.7,100
20.03.2017-09:00,2.3,0,996.5,53.2,1.1,97
20.03.2017-10:00,1.1,0,996.3,72.1,1.5,94
20.03.2017-11:00,2.1,0,996.4,114.5,1.9,91
20.03.2017-12:00,3.5,0,996.8,149.9,1.7,89
20.03.2017-13:00,2.2,0,996.8,116.7,1.9,89
20.03.2017-14:00,2.6,0,996.5,100.9,2.1,89
20.03.2017-15:00,2.5,0,995.6,97.6,2.2,88
20.03.2017-16:00,0.2,0,995.1,53.3,2.4,88
20.03.2017-17:00,1.5,0,994.4,38.1,2.7,89
20.03.2017-18:00,1.4,0,993.2,1.5,3.5,89
20.03.2017-19:00,4.3,0,992.4,-4.4,3.7,95
20.03.2017-20:00,2.5,0,991,-5.2,3.6,95
20.03.2017-21:00,3.9,0,989.9,-5.8,3.7,90
20.03.2017-22:00,3.6,0,988.6,-5,3.2,94
20.03.2017-23:00,3.1,0,987.5,-4.5,2.8,94
21.03.2017-00:00,1.6,0,986.5,-4.3,2.4,95
21.03.2017-01:00,2.9,0,985.7,-4.2,1.6,97
21.03.2017-02:00,1.7,0,985.7,-4.5,1.7,97
21.03.2017-03:00,0.7,0,985.7,-5.7,1.6,97
21.03.2017-04:00,1.4,0,985.8,-6,2.1,98
21.03.2017-05:00,2.4,0,985.8,-5.7,1.9,100
21.03.2017-06:00,1.9,0,985.6,-5.6,1.5,100
21.03.2017-07:00,3.3,0,985.6,1.9,1.6,100
21.03.2017-08:00,2.5,0,985.7,25.4,2.1,98
21.03.2017-09:00,2.2,0,986,57.6,2.5,95
21.03.2017-10:00,1.7,0,986.6,78.2,3.2,93
21.03.2017-11:00,3.2,0,987,120.3,4.2,88
21.03.2017-12:00,3,0,987.4,196.7,5.2,84
21.03.2017-13:00,4.9,0,988,219.9,5.9,77
21.03.2017-14:00,5.3,0,988.1,229.9,6.6,69
21.03.2017-15:00,5,0,988.4,203.9,6.6,68
21.03.2017-16:00,3,1,988.6,161.7,6.9,68
21.03.2017-17:00,4.1,0,988.9,71.1,5.7,68
21.03.2017-18:00,3.2,0,989.5,44.3,5.3,68
21.03.2017-19:00,1.4,0,990.3,0.2,3.8,75
21.03.2017-20:00,0.4,0,990.9,-7.1,2.8,84
21.03.2017-21:00,1.6,0,991.5,-7.6,1.4,91
21.03.2017-22:00,0.4,0,992.1,-7.4,1.4,90
21.03.2017-23:00,1.1,0,992.9,-7.9,0.6,91
22.03.2017-00:00,2,0,993.9,-7.7,0,93
22.03.2017-01:00,1.1,0,994.7,-6.9,-0.7,94
22.03.2017-02:00,2,0,995.7,-6.5,-0.4,95
22.03.2017-03:00,1.8,0,996.5,-6.5,-0.2,93
22.03.2017-04:00,1.3,0,997.4,-6.1,0.2,94
22.03.2017-05:00,0.6,0,998.5,-6.8,-0.3,94
22.03.2017-06:00,0.5,0,999.5,-7.3,-1.3,97
22.03.2017-07:00,1.4,28,1000.6,18.6,-1.1,97
22.03.2017-08:00,1.9,60,1001.6,121.5,1,93
22.03.2017-09:00,1.5,60,1002.5,217.7,2.4,89
22.03.2017-10:00,2.1,59,1003.2,357.4,3.9,71
22.03.2017-11:00,3.7,60,1003.6,454,6.3,45
22.03.2017-12:00,4.6,60,1004.2,532.8,7.1,35
22.03.2017-13:00,5.7,60,1005.1,552.2,7.6,32
22.03.2017-14:00,4.3,60,1005.9,525.7,8,31
22.03.2017-15:00,6.2,60,1006.7,462.4,8,35
22.03.2017-16:00,5.7,57,1007.9,290.4,6.4,45
22.03.2017-17:00,5.7,49,1009.2,226,5.5,46
22.03.2017-18:00,1.7,49,1010.1,79,5.6,47
22.03.2017-19:00,1.2,20,1011.5,6,3.3,56
22.03.2017-20:00,2.6,0,1012.6,-7.2,3.5,48
22.03.2017-21:00,3.3,0,1013.4,-7,2.9,51
22.03.2017-22:00,2.4,0,1014.8,-6.7,2.1,55
22.03.2017-23:00,1.8,0,1016.1,-7.7,0.9,57
23.03.2017-00:00,1.5,0,1016.7,-6.6,1,52
23.03.2017-01:00,2.5,0,1017.5,-7.3,0.4,53
23.03.2017-02:00,2.1,0,1018.5,-6.8,-0.5,56
23.03.2017-03:00,0.9,0,1019.2,-7.5,-2.2,66
23.03.2017-04:00,0.9,0,1019.4,-7.4,-2.8,70
23.03.2017-05:00,1.8,0,1020.1,-7.3,-2.5,67
23.03.2017-06:00,0.7,0,1020.9,-6.8,-3.1,70
23.03.2017-07:00,0.9,34,1021.3,21.6,-3.2,71
23.03.2017-08:00,0.6,60,1022.2,132.2,0.9,56
23.03.2017-09:00,2.8,60,1022.6,281.4,1.9,56
23.03.2017-10:00,2.4,60,1023.1,370,2.9,43
23.03.2017-11:00,2.2,60,1023,486.6,5.3,36
23.03.2017-12:00,4.3,60,1023,509,5.8,32
23.03.2017-13:00,3,60,1022.7,643.1,7.8,32
23.03.2017-14:00,3.9,60,1022.5,549,8.3,33
23.03.2017-15:00,4,60,1022.4,436.8,8.8,32
23.03.2017-16:00,3.7,60,1022.2,354,9.1,32
23.03.2017-17:00,4.3,59,1022.5,236,8,31
23.03.2017-18:00,4.3,21,1023.1,42.1,6.4,36
23.03.2017-19:00,3.3,0,1023.7,2.9,5.4,40
23.03.2017-20:00,2.6,0,1024.1,-6.7,4.1,45
23.03.2017-21:00,3.5,0,1024.6,-6.4,3.2,49
23.03.2017-22:00,1.2,0,1025.4,-7.5,1.9,54
23.03.2017-23:00,2.4,0,1025.5,-7.9,0.6,61
24.03.2017-00:00,1.9,0,1025.9,-7.2,-0.8,70
24.03.2017-01:00,2.1,0,1026.2,-6.9,-0.6,70
24.03.2017-02:00,0.8,0,1026.4,-6.5,-0.8,73
24.03.2017-03:00,1.4,0,1026.4,-7.2,-1.3,76
24.03.2017-04:00,2.1,0,1026.2,-6.9,-0.9,74
24.03.2017-05:00,0.2,0,1026.4,-6.3,-1.1,78
24.03.2017-06:00,1.8,0,1026.3,-6.3,-0.8,77
24.03.2017-07:00,0.6,0,1026.7,6.6,-0.4,76
24.03.2017-08:00,0.2,4,1026.6,81.8,0.7,70
24.03.2017-09:00,1.4,45,1026.8,191,1.8,68
24.03.2017-10:00,1.5,60,1026.5,325.9,3.8,65
24.03.2017-11:00,2.7,49,1026,414.6,5.5,58
24.03.2017-12:00,2.7,14,1026.1,308.5,6.6,50
24.03.2017-13:00,6.3,40,1025.7,407.6,8.5,34
24.03.2017-14:00,6.6,23,1026.2,328.3,6.5,52
24.03.2017-15:00,3.7,0,1025.9,125.1,3.9,76
24.03.2017-16:00,2.8,0,1025.5,40.1,3.9,76
24.03.2017-17:00,3,0,1024.7,17.4,3.6,76
24.03.2017-18:00,3.5,0,1024.4,2.2,3.5,77
24.03.2017-19:00,4.1,0,1023.8,-4.2,3.3,77
24.03.2017-20:00,3.1,0,1023.9,-5.7,3.2,75
24.03.2017-21:00,2.9,0,1023.5,-6.8,2.2,81
24.03.2017-22:00,0.9,0,1023.2,-7.2,1.9,83
24.03.2017-23:00,0.3,0,1023.2,-7.1,1,87
25.03.2017-00:00,1,0,1023.2,-7.5,0.9,86
25.03.2017-01:00,1.1,0,1023,-6.9,0,87
25.03.2017-02:00,1.7,0,1022.9,-6.7,-0.3,88
25.03.2017-03:00,0.9,0,1022.8,-6.6,-0.1,85
25.03.2017-04:00,0.7,0,1022.7,-6.9,-0.3,86
25.03.2017-05:00,0.7,0,1023,-7,-0.7,87
25.03.2017-06:00,1.1,0,1023.3,-6.2,-0.6,87
25.03.2017-07:00,1.9,0,1023.8,17.2,0.2,84
25.03.2017-08:00,1.1,31,1024.2,116.9,3.5,73
25.03.2017-09:00,0.6,60,1024.3,245.4,6,60
25.03.2017-10:00,2.2,60,1024.8,320.4,7.4,54
25.03.2017-11:00,2.3,60,1024.8,440.8,9.7,48
25.03.2017-12:00,1.8,60,1024.6,471.9,11.2,41
25.03.2017-13:00,2.4,53,1024.1,440.8,11.5,35
25.03.2017-14:00,2.6,60,1023.9,390.5,11.9,33
25.03.2017-15:00,2.8,60,1023.3,363.2,12.1,25
25.03.2017-16:00,2.6,60,1022.9,344.2,12.9,27
25.03.2017-17:00,3.2,60,1022.6,213.5,12.1,35
25.03.2017-18:00,2.7,20,1022,90.9,10.9,45
25.03.2017-19:00,1.7,0,1022.4,4.1,9.9,50
25.03.2017-20:00,1.6,0,1022.6,-6.5,9.5,52
25.03.2017-21:00,1.4,0,1022.9,-7,6.9,62
25.03.2017-22:00,1.5,0,1022.7,-7.6,5.5,68
25.03.2017-23:00,0.7,0,1023,-7,5,71
26.03.2017-00:00,1.2,0,1023.2,-7.1,5.1,71
26.03.2017-01:00,1,0,1022.8,-7.4,4.3,74
26.03.2017-02:00,1.2,0,1022.3,-6.3,4,77
26.03.2017-03:00,1.1,0,1022.6,-7,3.2,80
26.03.2017-04:00,1.5,0,1022.3,-7.1,2.8,83
26.03.2017-05:00,0.8,0,1022,-6.7,2.1,85
26.03.2017-06:00,0.4,0,1022.1,-6.3,1.9,86
26.03.2017-07:00,0.3,17,1021.9,27.8,2.7,85
26.03.2017-08:00,0.5,60,1021.9,186.1,6.5,67
26.03.2017-09:00,1.9,60,1021.9,246.7,6.5,70
26.03.2017-10:00,1.5,60,1021.5,411.3,8.9,63
26.03.2017-11:00,1.6,60,1020.9,509,11.6,55
26.03.2017-12:00,2,60,1020.4,561.7,13.7,51
26.03.2017-13:00,1.3,60,1019.9,551.1,16.3,46
26.03.2017-14:00,3.4,60,1019.6,519,18.2,43
26.03.2017-15:00,6.3,60,1019.3,455.3,19.7,40
26.03.2017-16:00,5,60,1018.9,382.5,19.8,39
26.03.2017-17:00,5.4,60,1019.1,308.6,19,39
26.03.2017-18:00,3.6,55,1019.4,136.2,16.9,44
26.03.2017-19:00,2.4,20,1020,10.2,15.7,47
26.03.2017-20:00,2.3,0,1020.7,-7.1,15.1,48
26.03.2017-21:00,2.8,0,1021.3,-7.8,13.5,54
26.03.2017-22:00,1.9,0,1021.9,-8.1,11.9,59
26.03.2017-23:00,1.3,0,1022.1,-8.1,8.9,68
27.03.2017-00:00,0.4,0,1022.3,-8,7,78
27.03.2017-01:00,1,0,1022,-8.2,6.2,80
27.03.2017-02:00,1.8,0,1021.9,-7.6,4.8,90
27.03.2017-03:00,0.9,0,1021.7,-7.1,4,91
27.03.2017-04:00,0.8,0,1021.4,-7.2,2.9,94
27.03.2017-05:00,0.3,0,1021.1,-7,2.6,97
27.03.2017-06:00,0.3,0,1020.7,-5.9,2,97
27.03.2017-07:00,0.4,15,1020.3,24.6,2.8,98
27.03.2017-08:00,1.1,51,1019.7,148.1,4.7,91
27.03.2017-09:00,2.1,60,1019.1,269.7,5.2,86
27.03.2017-10:00,2.3,60,1018.3,393.9,8,75
27.03.2017-11:00,1.6,60,1017.9,420.4,9.7,69
27.03.2017-12:00,1.6,51,1017.4,410,11.4,63
27.03.2017-13:00,1.4,42,1016.7,398.3,13.5,57
27.03.2017-14:00,2.7,60,1015.7,522.1,16.9,44
27.03.2017-15:00,3.6,60,1015,403.8,18.4,33
27.03.2017-16:00,4.9,60,1014.9,415.5,18.6,28
27.03.2017-17:00,3.8,19,1014.9,176.2,17.3,30
27.03.2017-18:00,2.3,21,1015.1,91.3,16.2,32
27.03.2017-19:00,1.3,6,1015.5,15.8,14.3,36
27.03.2017-20:00,1.4,0,1016.5,-7.5,10.9,49
27.03.2017-21:00,2.2,0,1017.5,-8.2,9.6,53
27.03.2017-22:00,5,0,1018.1,-7.7,9.6,50
27.03.2017-23:00,2.2,0,1018.6,-7.6,8.4,53
28.03.2017-00:00,1,0,1019,-8.6,7.3,54
28.03.2017-01:00,3.2,0,1019.2,-8.5,5.9,60
28.03.2017-02:00,2.1,0,1019.5,-7.7,5.2,62
28.03.2017-03:00,2.3,0,1019.7,-7.6,4.8,64
28.03.2017-04:00,2.4,0,1019.7,-7.2,4.5,66
28.03.2017-05:00,3.5,0,1019.7,-6.8,4.8,64
28.03.2017-06:00,3.3,0,1020,-6.1,4.9,63
28.03.2017-07:00,2.4,15,1020.4,20.7,4.2,65
28.03.2017-08:00,2,60,1020.6,155.4,6.9,51
28.03.2017-09:00,3.5,60,1020.6,290,7.5,47
28.03.2017-10:00,1.8,60,1020.2,402,9,47
28.03.2017-11:00,1,60,1019.7,487.5,10,47
28.03.2017-12:00,1.7,60,1019.1,535.1,10.6,42
28.03.2017-13:00,2.7,60,1018.2,563,11.1,41
28.03.2017-14:00,1.5,60,1017.5,548,12.2,40
28.03.2017-15:00,2.5,60,1016.8,488.5,11.7,42
28.03.2017-16:00,1.4,60,1016.3,239.8,10.7,44
28.03.2017-17:00,0.7,60,1015.7,174.1,11.2,41
28.03.2017-18:00,1.3,43,1015.4,102,10.3,44
28.03.2017-19:00,3.9,0,1015.6,6,8.5,52
28.03.2017-20:00,5.3,0,1015.7,-6.3,7.5,52
28.03.2017-21:00,6,0,1016,-6.2,6.9,50
28.03.2017-22:00,4.7,0,1015.7,-6,6.6,51
28.03.2017-23:00,3.2,0,1016,-5.9,6.5,51
29.03.2017-00:00,3,0,1015.8,-6.1,6,53
29.03.2017-01:00,3.6,0,1015.6,-6,5.4,55
29.03.2017-02:00,3.5,0,1014.8,-6.2,4.6,56
29.03.2017-03:00,4.4,0,1014.2,-6.1,4,54
29.03.2017-04:00,3.9,0,1014,-5.6,3.5,52
29.03.2017-05:00,4.7,0,1013.6,-5.7,3.3,52
29.03.2017-06:00,4.5,0,1013.8,-5.1,3.1,51
29.03.2017-07:00,4.7,0,1014.1,3.5,3,51
29.03.2017-08:00,4,0,1014.2,38.1,3.2,50
29.03.2017-09:00,3.2,0,1014.6,111.1,3.9,49
29.03.2017-10:00,4.1,0,1015.3,181.3,4,48
29.03.2017-11:00,4.5,0,1015.6,189.4,4.2,49
29.03.2017-12:00,3.1,0,1015.8,222.6,4.7,50
29.03.2017-13:00,2.9,0,1016,294,5.5,48
29.03.2017-14:00,2.7,0,1016.5,257,6,46
29.03.2017-15:00,1.6,1,1016.4,246.1,6.5,46
29.03.2017-16:00,3.5,49,1016.5,245.8,7,45
29.03.2017-17:00,2,14,1017,158.9,6.9,45
29.03.2017-18:00,2.5,4,1017.6,60.6,6,50
29.03.2017-19:00,1.1,17,1018.7,12.4,4.2,58
29.03.2017-20:00,2.5,0,1019.7,-7.8,2.5,64
29.03.2017-21:00,2.8,0,1020.5,-7.3,1.5,67
29.03.2017-22:00,2.1,0,1021,-7,0.4,69
29.03.2017-23:00,2.9,0,1021.8,-7.2,-0.1,71
30.03.2017-00:00,3.8,0,1021.6,-6,1.7,53
30.03.2017-01:00,2.2,0,1021.9,-5.9,2,49
30.03.2017-02:00,3.2,0,1021.6,-5.9,2.2,47
30.03.2017-03:00,2.4,0,1021.4,-6.1,2,49
30.03.2017-04:00,2.5,0,1021.1,-6.1,1.9,50
30.03.2017-05:00,1.7,0,1020.6,-6.4,1.8,51
30.03.2017-06:00,1.9,0,1020.1,-5.3,1.8,54
30.03.2017-07:00,1,0,1019.7,10,2.1,54
30.03.2017-08:00,1.1,0,1019.3,34.7,2.6,60
30.03.2017-09:00,0.9,0,1018.5,58.8,3.4,67
30.03.2017-10:00,2.7,0,1018.2,57.1,4,79
30.03.2017-11:00,3.2,0,1017.3,28.3,2.7,93
30.03.2017-12:00,2.3,0,1016.7,30.4,2.2,96
30.03.2017-13:00,3.1,0,1015.7,32.3,2.8,98
30.03.2017-14:00,3.8,0,1014.7,37.1,3,97
30.03.2017-15:00,3.4,0,1013.4,31.4,3,97
30.03.2017-16:00,3.1,0,1012.5,36.1,3.3,95
30.03.2017-17:00,0.8,0,1011.5,22.7,3.5,98
30.03.2017-18:00,0.7,0,1011,10.2,3.6,99
30.03.2017-19:00,0.7,0,1010.8,-2.6,3.6,99
30.03.2017-20:00,1.8,0,1010.8,-6.1,3.3,98
30.03.2017-21:00,0.6,0,1010.7,-5.9,3.4,99
30.03.2017-22:00,0.6,0,1011,-5.8,3.5,99
30.03.2017-23:00,2.1,0,1011.2,-5.7,3.7,99
31.03.2017-00:00,1.4,0,1011.4,-5.6,3.7,96
31.03.2017-01:00,1.7,0,1011.8,-5.2,3.7,94
31.03.2017-02:00,2.8,0,1012,-4.8,2.8,95
31.03.2017-03:00,2.7,0,1011.9,-5.3,2.6,95
31.03.2017-04:00,1.4,0,1012.5,-5.4,2.6,95
31.03.2017-05:00,2.2,0,1012.6,-5.6,2.4,94
31.03.2017-06:00,2.7,0,1013,-4.5,2.4,95
31.03.2017-07:00,2.3,0,1013.3,6.8,2.4,94
31.03.2017-08:00,3.1,0,1013.3,54.4,2.2,93
31.03.2017-09:00,2.6,0,1013.5,97,2.5,91
31.03.2017-10:00,2.1,0,1014,100,2.7,91
31.03.2017-11:00,3.1,0,1014.1,77.6,2.7,92
31.03.2017-12:00,3.3,0,1014.2,83.6,2.7,93
31.03.2017-13:00,2.9,0,1013.7,99.9,3.1,95
31.03.2017-14:00,3.5,0,1013.2,107.3,3.4,94
31.03.2017-15:00,3.5,0,1012.7,85.4,3.6,94
31.03.2017-16:00,2.8,0,1012,62.9,3.6,94
31.03.2017-17:00,3.1,0,1011.4,40,3.5,94
31.03.2017-18:00,3.1,0,1011,14.6,3.5,94
31.03.2017-19:00,2.9,0,1010.7,-1.6,3.5,95
31.03.2017-20:00,2.9,0,1010.3,-4.4,3.7,95
31.03.2017-21:00,2.5,0,1009.7,-5.1,3.7,94
31.03.2017-22:00,2.3,0,1008.9,-5.7,3.9,95
31.03.2017-23:00,2.6,0,1008.3,-5.5,3.9,96
01.04.2017-00:00,2.7,0,1007.4,-5.8,3.8,98
01.04.2017-01:00,1.7,0,1007,-5.9,3.8,99
01.04.2017-02:00,2.5,0,1006.1,-5.7,3.6,98
01.04.2017-03:00,1.9,0,1005.4,-4.8,4,97
01.04.2017-04:00,1,0,1005.6,-6.2,3.9,98
01.04.2017-05:00,1,0,1005.2,-6.8,3.7,99
01.04.2017-06:00,0.8,0,1004.9,-5.7,3.8,100
01.04.2017-07:00,1.5,0,1005.1,4.9,4,100
01.04.2017-08:00,2.4,0,1005.3,36.2,4.1,100
01.04.2017-09:00,2.3,0,1005.6,57.3,4.3,100
01.04.2017-10:00,1.9,0,1005.8,74.7,4.8,100
01.04.2017-11:00,1.8,0,1005.8,105.1,5.6,100
01.04.2017-12:00,0.8,0,1006,136.9,6.4,95
01.04.2017-13:00,0.7,16,1005.4,327.4,10.6,81
01.04.2017-14:00,3.9,60,1005,548.2,11.2,77
01.04.2017-15:00,4.6,21,1005,241.3,10.2,81
01.04.2017-16:00,4.6,22,1004.9,250,9.2,84
01.04.2017-17:00,4.9,25,1004.9,192.6,8.9,85
01.04.2017-18:00,3.5,1,1005.2,68.5,8.6,87
01.04.2017-19:00,2.1,8,1005.7,21,7.7,90
01.04.2017-20:00,0.9,0,1006.4,-6.4,6.8,94
01.04.2017-21:00,1.4,0,1006.8,-7.3,5.9,96
01.04.2017-22:00,2,0,1007.2,-7.6,4.2,97
01.04.2017-23:00,0.5,0,1007.7,-7.2,3.5,97
02.04.2017-00:00,0.6,0,1008.1,-7.5,2.5,97
02.04.2017-01:00,1.5,0,1008.4,-7.2,2.9,99
02.04.2017-02:00,1.5,0,1008.5,-6.7,3.8,100
02.04.2017-03:00,0.6,0,1008.7,-6.4,3.9,100
02.04.2017-04:00,1.2,0,1009.1,-6.3,3.9,100
02.04.2017-05:00,1.1,0,1009.2,-6.4,3.8,100
02.04.2017-06:00,1.1,0,1009.8,-5.7,3.5,100
02.04.2017-07:00,0.8,0,1010.3,4.1,3.4,100
02.04.2017-08:00,0.4,0,1010.9,39.8,3.7,100
02.04.2017-09:00,0.7,0,1011.5,66.7,3.6,100
02.04.2017-10:00,0.6,0,1012.1,186,4.5,100
02.04.2017-11:00,1,37,1012.4,341.4,7.2,87
02.04.2017-12:00,2.1,53,1012.4,411.8,9.1,75
02.04.2017-13:00,0.5,40,1012.4,544.8,12.3,64
02.04.2017-14:00,2.1,56,1012.4,538.8,13.8,55
02.04.2017-15:00,2.8,60,1012.4,506.8,14.6,52
02.04.2017-16:00,2.6,60,1012.6,413.4,14.7,48
02.04.2017-17:00,2.1,30,1013.4,206.8,12.5,56
02.04.2017-18:00,1.2,39,1014.2,126.8,12.8,59
02.04.2017-19:00,1.8,36,1015.2,29,10.2,73
02.04.2017-20:00,1.8,0,1016.3,-7.2,8.1,84
02.04.2017-21:00,1.6,0,1017.4,-7.7,6.7,93
02.04.2017-22:00,1.4,0,1018.2,-7.3,5.6,98
02.04.2017-23:00,0.4,0,1018.9,-6.1,5.4,99
03.04.2017-00:00,0.3,0,1019.5,-6.2,4.9,99
03.04.2017-01:00,0.6,0,1020.1,-6.5,4.5,100
03.04.2017-02:00,0.6,0,1020.6,-6.4,3.9,100
03.04.2017-03:00,0.5,0,1021,-6.4,3.5,100
03.04.2017-04:00,0.9,0,1021.2,-6.3,3.4,100
03.04.2017-05:00,1.4,0,1021.5,-6,1.9,100
03.04.2017-06:00,0.2,0,1022.1,-3,2.6,100
03.04.2017-07:00,1,0,1022.8,15.3,2.7,100
03.04.2017-08:00,0.4,0,1023.6,42.5,3.3,100
03.04.2017-09:00,0.7,0,1023.9,107.7,3.7,100
03.04.2017-10:00,1.2,9,1023.9,221.1,5.8,97
03.04.2017-11:00,1.8,60,1023.9,487.6,6.3,83
03.04.2017-12:00,1.6,60,1023.7,595.2,8.5,69
03.04.2017-13:00,1.8,57,1023.4,485.7,10,60
03.04.2017-14:00,2.4,60,1023.5,539.6,11,61
03.04.2017-15:00,3,60,1022.9,487.5,11.2,63
03.04.2017-16:00,4,60,1022.8,385.5,10.1,68
03.04.2017-17:00,4.2,60,1022.7,278.9,8.8,71
03.04.2017-18:00,3.5,56,1022.7,107.8,7.4,79
03.04.2017-19:00,3,6,1022.9,22.5,6,86
03.04.2017-20:00,4.4,0,1023.4,-5.3,4.1,97
03.04.2017-21:00,3.7,0,1023.5,-5,4,98
03.04.2017-22:00,4.1,0,1023.2,-5.2,3.8,99
03.04.2017-23:00,3.9,0,1023.1,-5.1,3.9,100
04.04.2017-00:00,3.1,0,1022.7,-4.9,3.6,99
04.04.2017-01:00,3.1,0,1022.3,-5.1,3.6,99
04.04.2017-02:00,2.3,0,1021.6,-5.5,3.9,99
04.04.2017-03:00,3.7,0,1021,-5.5,4,100
04.04.2017-04:00,4.3,0,1020.4,-4.8,4,100
04.04.2017-05:00,3.3,0,1019.9,-5,4,100
04.04.2017-06:00,4.1,0,1019.5,-3.6,4.4,96
04.04.2017-07:00,3.4,0,1019.9,8.2,4.3,94
04.04.2017-08:00,2.9,0,1019.5,37.2,4.3,89
04.04.2017-09:00,3.9,0,1019.1,100,5,81
04.04.2017-10:00,4.4,42,1019,325,7,69
04.04.2017-11:00,5.5,30,1018.5,373.1,8,64
04.04.2017-12:00,6.3,7,1017.9,260.4,7.5,73
04.04.2017-13:00,7.3,0,1017.3,172.4,6.7,81
04.04.2017-14:00,5.5,0,1017.1,101.3,7.2,83
04.04.2017-15:00,4.1,0,1016.5,89.8,7.1,85
04.04.2017-16:00,4.6,7,1015.8,108,7,88
04.04.2017-17:00,2.8,0,1015.2,57.3,7.2,88
04.04.2017-18:00,3.9,0,1014.8,46.4,6.5,93
04.04.2017-19:00,2,0,1014.7,9.1,6.2,92
04.04.2017-20:00,3.6,0,1014.3,-5.5,6.1,92
04.04.2017-21:00,2,0,1014,-7.4,4.7,96
04.04.2017-22:00,2.3,0,1013.2,-7.1,4.3,93
04.04.2017-23:00,1.4,0,1012.7,-7.1,3.8,85
05.04.2017-00:00,2.2,0,1011.9,-7,4.8,75
05.04.2017-01:00,3.9,0,1011,-6.4,5,68
05.04.2017-02:00,3.1,0,1010.1,-5.9,5.1,68
05.04.2017-03:00,2.4,0,1009.8,-5.8,4.7,73
05.04.2017-04:00,4.9,0,1008.8,-6.4,4.1,74
05.04.2017-05:00,3.8,0,1008.1,-6.4,3.9,79
05.04.2017-06:00,3.6,0,1007.8,-1.2,4,80
05.04.2017-07:00,4.9,53,1006.9,79.2,4.8,76
05.04.2017-08:00,4.7,60,1006.3,214.3,6.4,58
05.04.2017-09:00,4.6,60,1005.1,351.1,7.6,50
05.04.2017-10:00,4.8,60,1004.2,457.8,8.5,49
05.04.2017-11:00,5.4,33,1003.2,322.5,9.1,47
05.04.2017-12:00,5.8,9,1002.6,292.2,10.3,38
05.04.2017-13:00,7.4,18,1002.3,373.6,9.8,41
05.04.2017-14:00,6.4,44,1002.4,447.7,11.1,36
05.04.2017-15:00,10.9,46,1004.3,425.7,7.2,58
05.04.2017-16:00,10.4,46,1004.6,295.5,10,36
05.04.2017-17:00,5.9,58,1006.4,276.4,9.7,39
05.04.2017-18:00,5.8,60,1008,175.4,9.4,36
05.04.2017-19:00,5.5,57,1009.9,49.3,8.3,35
05.04.2017-20:00,4.2,0,1011.9,-5.2,7.4,39
05.04.2017-21:00,5.7,0,1013,-6.9,7.2,41
05.04.2017-22:00,0.7,0,1014.1,-7.4,5.4,48
05.04.2017-23:00,1.9,0,1015.2,-7.9,5,49
06.04.2017-00:00,2.8,0,1015.5,-7.7,3.8,54
06.04.2017-01:00,1.5,0,1015.9,-7.1,2.7,59
06.04.2017-02:00,1.5,0,1016.5,-7.8,1.4,66
06.04.2017-03:00,0.9,0,1016.5,-6.8,1.1,70
06.04.2017-04:00,1.1,0,1016.5,-6.9,1.1,72
06.04.2017-05:00,0.6,0,1016.3,-7.3,1,74
06.04.2017-06:00,1,0,1016.5,0.3,1.4,74
06.04.2017-07:00,0.2,0,1016,36.1,2.7,70
06.04.2017-08:00,0.5,0,1016,46.4,3.8,64
06.04.2017-09:00,1.1,0,1015.2,143.2,5.7,56
06.04.2017-10:00,1.6,0,1014.6,115.1,5.3,61
06.04.2017-11:00,2.4,0,1013.5,172.2,6.3,62
06.04.2017-12:00,3.1,0,1012.4,232.2,7.3,57
06.04.2017-13:00,4.1,2,1011.1,283.4,8.6,54
06.04.2017-14:00,4,29,1009.7,356.3,10,50
06.04.2017-15:00,2.8,24,1009,330.1,9.6,52
06.04.2017-16:00,2.8,55,1008.2,368.3,11.3,48
06.04.2017-17:00,3.1,60,1007.6,252,10.9,51
06.04.2017-18:00,3.4,42,1007.6,139,9.6,60
06.04.2017-19:00,2.5,0,1007.5,29.3,9.1,64
06.04.2017-20:00,0.8,0,1007.7,-6,7.5,73
06.04.2017-21:00,1,0,1007.9,-7.3,5.6,81
06.04.2017-22:00,2.1,0,1008,-7,5.3,83
06.04.2017-23:00,1.1,0,1007.9,-6.9,4.7,85
07.04.2017-00:00,0.4,0,1008.1,-6.9,4,88
07.04.2017-01:00,1.9,0,1008.1,-7.8,3.4,89
07.04.2017-02:00,1.8,0,1008,-7.7,2.9,89
07.04.2017-03:00,0.7,0,1007.9,-7.2,2.1,92
07.04.2017-04:00,2.2,0,1007.5,-7,2.4,91
07.04.2017-05:00,1.4,0,1007.6,-7.4,1.7,93
07.04.2017-06:00,2,3,1007.9,4.5,2.3,90
07.04.2017-07:00,1.2,57,1008.4,86.3,6.1,78
07.04.2017-08:00,0.5,60,1009,218.6,9.1,64
07.04.2017-09:00,0.5,60,1009.4,329,11.6,57
07.04.2017-10:00,3.8,60,1009.8,451.7,14,39
07.04.2017-11:00,2.3,60,1010.1,549.8,15.6,36
07.04.2017-12:00,2.3,58,1010.4,543.6,15.7,35
07.04.2017-13:00,2,46,1010.7,510.5,16.3,33
07.04.2017-14:00,3.9,41,1010.9,403.2,15.2,34
